Artifact,Type,Tool
systemmonitor.us.cdn.cloudflare.net,domain,N-Able
*cc.centrastage.net,domain,CentraStage
app.deskday.ai,domain,DeskDay
helpme.net,domain,GoToAssist
*.ivanti.com,domain,LANDesk
bomgarcloud.com,domain,BeyondTrust
auth.api.remote.it,domain,Remote.it
meshcentral.com,domain,MeshCentral
ericom.com,domain,Ericom Connect
*.tailscale.com,domain,Tailscale
domotz.com,domain,Domotz
*.teknopars.com,domain,Alpemix
pubsub.atera.com,domain,Atera
*.supremocontrol.com,domain,Supremo
*.relay.splashtop.com,domain,Splashtop Remote
rport.io,domain,RPort
deskroll.com,domain,SkyFex
*.cloud.tanium.com,domain,Tanium
islonline.com,domain,ISL Online
*.helpu.co.kr,domain,HelpU
*.weezo.me,domain,Weezo
*.islonline.net,domain,Barracuda RMM
*.itsupport247.net,domain,ITSupport247
tightvnc.com,domain,TightVNC
*.kabuto.io,domain,Syncro
prod.addigy.com,domain,Addigy
jumpto.me,domain,Jump Desktop
au.pcmag.com/utilities/21470/webex-pcnow,url,Pcnow
*.logicnow.com,domain,N-Able
tailscale.com,domain,Tailscale
*.nchuser.com,domain,DesktopNow
*.pcvisit.de,domain,Pcvisit
*.dwservice.net,domain,DW Service
showmypc.com,domain,ShowMyPC
*.logmeininc.com,domain,LogMeIn
tele-desk.com,domain,TeleDesktop
*.gatherplace.com,domain,GatherPlace
netreo.com,domain,Netreo
runsmart.io,domain,RunSmart
basecamp.com,domain,Basecamp
*.domotz.co,domain,Domotz
parallels.com/products/ras/try,url,Parallels Access
*.remotepc.com,domain,RemotePC
logmeinrescue.com,domain,LogMeIn Rescue
le.laplink.com,domain,Laplink Everywhere
remote.management,domain,N-Able
*.anyviewer.com,domain,AnyViewer
system-monitor.com,domain,N-Able
servicedesk.itarian.com,domain,Itarian
*.01com.com,domain,Im InTouch
atera.pubnubapi.com,domain,Atera
nomachine.com,domain,NoMachine
*.aomeisoftware.com,domain,AnyViewer
*.internetid.ru,domain,Remote Utilities
zerotier.com,domain,ZeroTier
gotohttp.com,domain,GotoHTTP
*.screenconnect.com,domain,ScreenConnect
royalapps.com,domain,Royal Server
*.swi-tc.com,domain,N-Able
*.real-time-collaboration.com,domain,Mikogo
app.atera.com,domain,Atera
superops.ai,domain,SuperOps
*.pilixo.com,domain,Pilixo
*.superopsalpha.com,domain,SuperOps
*.hostedrmm.com,domain,Connectwise Automate
ammyy.com,domain,Ammyy Admin
goverlan.com,domain,Goverlan
ps.atera.com,domain,Atera
*.server-eye.de,domain,ServerEye
emcosoftware.com,domain,EMCO Remote Console
connect.acronis.com,domain,Acronis Cyber Protect
live.screenconnect.com,domain,ConnectWise Control
*systemmonitor.us,domain,N-Able
ld.aurelius.host,domain,Syncro
ezhelp.co.kr,domain,ezHelp
*.ninjarmm.com,domain,NinjaRMM
plus*.site24x7.cn,domain,Site24x7
mremoteng.org,domain,mRemoteNG
*.netop.com,domain,Netop Remote Control
*.api.netreo.com,domain,Netreo
wangwang.taobao.com,domain,AliWangWang
*.techinline.net,domain,FixMe.it
*.anysupport.net,domain,Any Support
*.connectwise.com,domain,ScreenConnect
*.getscreen.me,domain,GetScreen
*.anydesk.com,domain,AnyDesk
splashtop.com,domain,Splashtop
downloads.io,domain,Unknown
*remotedesktop.google.com,domain,Chrome Remote Desktop
secure.instanthousecall.com,domain,Instant Housecall
remotecall.com,domain,RemoteCall
*.iperius-rs.com,domain,Iperius Remote
iperiusremote.com,domain,Iperius Remote
repairshopr.com,domain,Syncro
*.sophosupd.net,domain,Sophos
*.syncroapi.com,domain,Syncro
site24x7.com/msp,url,Site24x7
app.syspectr.com,domain,Syspectr
client.teamviewer.com,domain,TeamViewer
*.jumpdesktop.com,domain,Jump Desktop
serv.superopsalpha.com,domain,SuperOps
gateway.zohoassist.com,domain,Zoho Assist
taf.teamviewer.com,domain,TeamViewer
github.com/Mikej81/WebRDP,url,WebRDP
*remote.management,domain,N-Able
desktopcentral.manageengine.cn,domain,ManageEngine Desktop Central
resources.ninjarmm.com,domain,NinjaRMM
msp360.com,domain,MSP360
*mdmsupport.comodo.com,domain,Itarian
download.pilixo.com,domain,Pilixo
plus*.site24x7.eu,domain,Site24x7
logmein-gateway.com,domain,LogMeIn
my.kickidler.com,domain,KickIdler
jumpdesktop.com,domain,Jump Desktop
myivo-server.software.informer.com,domain,MyIVO
*.dms.zoho.com.eu,domain,ManageEngine
*cell-1.domotz.com,domain,Domotz
*.fixme.it,domain,FixMe.it
beanywhere.en.uptodown.com/windows,url,BeAnywhere
rmansys.ru,domain,Remote Manipulator System
*.bluetrait.io,domain,Bluetrait
*.sorillus.com,domain,Sorillus
*.desktop.qq.com,domain,QQ
deploy01.kaseya.com,domain,Kaseya
auvik.com,domain,Auvik
learn.microsoft.com/en-us/azure/developer/dev-tunnels/overview,url,Dev Tunnels
*.beinsync.net,domain,BeInSync
gatherplace.com,domain,GatherPlace
changes.panorama9.com,domain,Panorama9
*.level.io,domain,Level.io
remotepc.com,domain,RemotePC
*.crossloop.com,domain,CrossLoop
*signalserver.xyz,domain,Distant Desktop
encapto.com,domain,Encapto
geo.netsupportsoftware.com,domain,NetSupport Manager
boot.net.anydesk.com,domain,AnyDesk
*.teamviewer.com,domain,TeamViewer
*.ezhelp.co.kr,domain,ezHelp
github.com/V-E-O/rdp2tcp,url,rdp2tcp
ps.pndsn.com,domain,Atera
*.gotohttp.com,domain,GotoHTTP
cacerts.thawte.com,domain,Atera
*.sophos.com,domain,Sophos
cloud.tanium.com,domain,Tanium
desktopcentral.manageengine.com.eu,domain,ManageEngine
*.khelpdesk.com.br,domain,KHelpDesk
*.distantdesktop.com,domain,Distant Desktop
weezo.en.softonic.com,url,Weezo
remote.it,domain,Remote.it
*.superopsbeta.com,domain,SuperOps
systemmonitor.us,domain,N-Able
pcvisit.de,domain,Pcvisit
*.rmm.datto.com,domain,CentraStage
*.devtunnels.ms,domain,Visual Studio Dev Tunnel
