Artifact,Type,Tool
CloudRaUtilities.exe,filename,MSP360
ComodoRemoteControl.exe,filename,Itarian
Connect.Backdrop.cloud*.exe,filename,Netop Remote Control
Connect.exe,filename,MSP360 OR Adobe Connect
ConnectAppSetup*.exe,filename,Adobe Connect
ConnectDetector.exe,filename,Adobe Connect
ConnectShellSetup*.exe,filename,Adobe Connect
ConnectWiseControl*.exe,filename,ConnectWise Control
CrossLoopConnect.exe,filename,CrossLoop
DSGuest.exe,filename,DeskShare
DameWare Mini Remote Control*.exe,filename,DameWare
DameWare Remote Support.exe,filename,DameWare
DeskRollUA.exe,filename,SkyFex
Deskroll.exe,filename,SkyFex
Domotz Pro Desktop App Setup*.exe,filename,Domotz
Domotz Pro Desktop App.exe,filename,Domotz
ERAAgent.exe,filename,ESET Remote Administrator
EricomConnectRemoteHost*.exe,filename,Ericom Connect
FastViewer.exe,filename,FastViewer
FixMeit Client.exe,filename,FixMe.it
FixMeit Expert Setup.exe,filename,FixMe.it
FixMeit Unattended Access Setup.exe,filename,FixMe.it
FixMeitClient*.exe,filename,FixMe.it
GetScreen.exe,filename,GetScreen
GoTo Assist Opener.exe,filename,GoToAssist
GotoHTTP*.exe,filename,GotoHTTP
GotoHTTP_x64.exe,filename,GotoHTTP
GovAgentInstallHelper.exe,filename,Goverlan
GovAgentx64.exe,filename,Goverlan
GovReachClient.exe,filename,Goverlan
HelpuManager.exe,filename,HelpU
HelpuUpdater.exe,filename,HelpU
InTouch Go Installer.exe,filename,I'm InTouch
ISLLight.exe,filename,ISL Online
ISLLightClient.exe,filename,ISL Online
ITSMAgent.exe,filename,Itarian
ITSMService.exe,filename,Itarian
ITarianRemoteAccessSetup.exe,filename,Itarian
Idrive.File-Transfer,filename,IDrive
ImperoClientSVC.exe,filename,Impero Connect
ImperoInit.exe,filename,Netop Remote Control
InstallShield Setup.exe,filename,ManageEngine
InstantHousecall.exe,filename,Instant Housecall
ItsmRsp.exe,filename,Itarian
IvantiRemoteControl.exe,filename,Ivanti Remote Control
JumpCloud*.exe,filename,JumpCloud
KHelpDesk.exe,filename,KHelpDesk
Kabuto.App.Runner.exe,filename,Syncro
Kabuto.Installer.exe,filename,Syncro
Kabuto.Service.Runner.exe,filename,Syncro
KabutoSetup.exe,filename,Syncro
LANDeskPortalManager.exe,filename,LANDesk
MEAgentHelper.exe,filename,Site24x7
ManageEngine_Remote_Access_Plus.exe,filename,ManageEngine
ManualLauncher.exe,filename,Any Support
Microsoft Remote Desktop,filename,Microsoft RDP
MonitoringAgent.exe,filename,Site24x7
NTRsupportPro_EN.exe,filename,NTR Remote
Netop Ondemand.exe,filename,Netop Remote Control
NinjaRMMAgenPatcher.exe,filename,NinjaRMM
NinjaRMMAgent.exe,filename,NinjaRMM
OOSysAgent.exe,filename,Syspectr
OTPowerShell.exe,filename,OptiTune
OTService.exe,filename,OptiTune
OnionShare-win*.msi,filename,OnionShare
Online Backup.exe,filename,MSP360
OrayRemoteService.exe,filename,SunLogin
OrayRemoteShell.exe,filename,SunLogin
PAExec-*.exe,filename,PSEXEC
PCIVIDEO.EXE,filename,CrossTec Remote Control
PCMonitorManager.exe,filename,Pulseway
Pilixo_Installer*.exe,filename,Pilixo
QQProtect.exe,filename,QQ
RAccess.exe,filename,Itarian
RDConsole.exe,filename,Rocket Remote Desktop
RDPCheck.exe,filename,rdpwrap
RDPConf.exe,filename,rdpwrap
RDPWInst.exe,filename,rdpwrap
RDesktop.exe,filename,Itarian
RHost.exe,filename,Itarian
ROMFUSClient.exe,filename,LiteManager
ROMServer.exe,filename,LiteManager
RViewer.exe,filename,Itarian
Remote Desktop.exe,filename,MSP360
Remote Workforce Client.exe,filename,ScreenConnect
RemotePC.exe,filename,RemotePC
RemotePCService.exe,filename,RemotePC
RmmService.exe,filename,Itarian
RocketRemoteDesktop_Setup.exe,filename,Rocket Remote Desktop
SMPCSetup.exe,filename,ShowMyPC
SRManager.exe,filename,Splashtop
SRServer.exe,filename,Splashtop
ScreenMeet.Support.exe,filename,ScreenMeet
ScreenMeetSupport.exe,filename,ScreenMeet
SensoClient.exe,filename,Senso.cloud
SensoService.exe,filename,Senso.cloud
ServiceProxyLocalSys.exe,filename,ServerEye
Site24x7PluginAgent.exe,filename,Site24x7
Site24x7WindowsAgentTrayIcon.exe,filename,Site24x7
SolarWinds-Dameware-DRS*.exe,filename,DameWare
SolarWinds-Dameware-MRC*.exe,filename,DameWare
Sorillus Launcher.exe,filename,Sorillus
Sorillus-Launcher*.exe,filename,Sorillus
SplashtopSOS.exe,filename,Splashtop
Splashtop_Streamer_Windows*.exe,filename,Splashtop
Syncro.App.Runner.exe,filename,Syncro
Syncro.Installer.exe,filename,Syncro
Syncro.Overmind.Service.exe,filename,Syncro
Syncro.Service.exe,filename,Syncro
SyncroLive.Agent.exe,filename,Syncro
SyncroLive.Service.exe,filename,Syncro
TPowerShell.exe,filename,Tanium
TSClient.exe,filename,Parallels Access
TakeControl.exe,filename,BeAnywhere
TaniumCX.exe,filename,Tanium
TaniumClient.exe,filename,Tanium
TaniumExecWrapper.exe,filename,Tanium
TaniumFileInfo.exe,filename,Tanium
TeamTaskManager.exe,filename,DeskShare
TiClientCore.exe,filename,FixMe.it
TiClientHelper*.exe,filename,FixMe.it
TiExpertCore.exe,filename,FixMe.it
TiExpertStandalone.exe,filename,FixMe.it
TightVNCViewerPortable*.exe,filename,TightVNC
ToDesk_Service.exe,filename,ToDesk
ToDesk_Setup.exe,filename,ToDesk
UltraVNC*.exe,filename,UltraVNC
UltraViewer_Desktop.exe,filename,UltraViewer
UltraViewer_Service.exe,filename,UltraViewer
UltraViewer_setup*,filename,UltraViewer
WinVNCStub.exe,filename,CrossLoop
XSightService.exe,filename,Pocket Controller
ZMAgent.exe,filename,Zoho Assist
Zaservice.exe,filename,Zoho Assist
ZohoMeeting.exe,filename,Zoho Assist
ZohoURSService.exe,filename,Zoho Assist
Zohours.exe,filename,Zoho Assist
aa_v*.exe,filename,Ammyy Admin
aadg.exe,filename,Senso.cloud
accessserver*.exe,filename,Ericom AccessNow
accessserver.exe,filename,Ericom AccessNow
addigy-*.pkg,filename,Addigy
aeroadmin.exe,filename,AeroAdmin
agent32.exe,filename,IntelliAdmin
agent64.exe,filename,IntelliAdmin
agent_setup_5.exe,filename,IntelliAdmin
agentu.exe,filename,RemoteCall
alitask.exe,filename,AliWangWang
apc_host.exe,filename,Anyplace Control
atera_agent.exe,filename,Atera
ateraagent.exe,filename,Atera
auvik*.exe,filename,Auvik
aweray_remote*.exe,filename,AweRay
